station_id,n_years,days_below_trend,days_below_p,days_below_sen,nm7q_trend,nm7q_p,nm7q_sen,min_year,days_below_p_fdr,nm7q_p_fdr
DESM_DENW2787990000100,34,increasing,0.00013780050334433191,2.0,decreasing,3.607017793560985e-6,-0.12042857142857132,2022,0.0008994614672839119,0.0001618649234860492
DESM_DENW2788730000100,31,no trend,0.7212260985001633,0.0,no trend,0.568058623631595,0.0005178571428571428,2011,0.7873583373246762,0.633332440632741
DESM_DENW2789770000100,32,increasing,0.000675626717447253,1.9442724458204335,decreasing,0.001570485444849723,-0.10037053571428567,2013,0.0028174124282557577,0.006062411555925275
DESM_DENW2822900000200,30,increasing,0.025601129177555748,0.25,decreasing,0.023224244299516306,-0.006380952380952376,1993,0.04483319694996348,0.04388159843961239
DESM_DENW2824590000400,34,increasing,0.01632203135091892,1.2916666666666667,decreasing,0.008830286276187538,-0.005842857142857169,2020,0.03100322357132218,0.021862570849319488
DESM_DENW2825190000200,34,increasing,0.00006831935844320292,2.7777777777777777,decreasing,0.0001469717914077684,-0.11993506493506499,2017,0.0006131662420277461,0.0014939270676097792
DESM_DENW2828300000200,30,increasing,0.00025436753679164426,2.36,decreasing,0.0005199907170403417,-0.009599999999999997,2020,0.0014970155034131193,0.0029631217050394075
DESM_DENW2828900000200,30,increasing,1.3181701508102606e-8,4.6,decreasing,2.0364072783607412e-7,-0.02835714285714286,2018,4.7322308414088354e-6,0.000029608633230315817
DESM_DENW2829100000100,34,increasing,2.668584982989941e-6,3.8846153846153846,decreasing,7.538609621882131e-6,-0.1615428571428577,2022,0.0001197527511116736,0.00022553007118797375
DESM_DENW2849900000100,34,no trend,0.6419315537183365,0.0,no trend,0.9136301036401862,0.0006428571428571117,2018,0.7069123551683523,0.9303005374827776
DESM_DENW2869500000200,34,no trend,1.0,0.0,no trend,0.46646827743679076,-0.0015238095238094829,2022,1.0,0.5367375371788714
DESM_DENW3119000000200,34,increasing,0.001843338256175775,1.6521739130434783,decreasing,0.009665641902533384,-0.007063492063492062,2022,0.005804898543571081,0.022828720019799242
DESM_DENW3171000000100,34,no trend,0.07477247932442421,1.0,decreasing,0.036461268903084765,-0.03807142857142858,2019,0.11138307086086428,0.06174337517078977
DESM_DENW3259000000100,34,no trend,0.9258976652670825,0.0,no trend,0.8646652653123481,-0.00023809523809523864,2025,0.9497064623739504,0.8975397546580671
DESM_DENW3331000000100,34,no trend,0.06081694918575553,0.6,no trend,0.11050564924339668,-0.038330357142857124,1993,0.09370508479693664,0.15557461991521337
DESM_DENW4281319000100,34,no trend,0.23284204679391474,0.35294117647058826,no trend,0.46646827743679076,-0.0027967032967033357,2020,0.29747435871535727,0.5367375371788714
DESM_DENW4433000000100,34,no trend,0.09733721658459205,0.23529411764705882,no trend,0.17765391067092295,-0.004964285714285717,2006,0.13703553236811195,0.22859410011061412
DESM_DENW4529500000100,32,increasing,0.00008041203646391715,2.25,decreasing,0.000463060547241545,-0.019921428571428576,1996,0.0006275635019683968,0.002817605702707028
DESM_DENW4567000000100,34,increasing,0.000690619202469378,1.4090909090909092,decreasing,0.0034066319449188587,-0.00805357142857141,2018,0.0028174124282557577,0.01063461624544235
DESM_DENW4639000000100,32,increasing,0.00001159455156796163,2.232142857142857,decreasing,0.001570485444849723,-0.035636904761904745,2022,0.0001811062226017447,0.006062411555925275
DESM_DENW4651000000100,34,increasing,0.00010061765701130376,1.5333333333333334,decreasing,0.008060034025016538,-0.04111309523809523,2020,0.0007082693895501578,0.021120819087452097
DESM_DENW4670000000100,34,increasing,0.0025160002929569547,1.4705882352941178,decreasing,0.0034066319449188587,-0.0531530612244898,2022,0.007225952841372374,0.01063461624544235
DESM_DENW9281700000200,33,no trend,0.10839945747110935,0.43961352657004826,decreasing,0.03944736533784576,-0.0036840659340659125,2018,0.15025252985377704,0.06466485916112616
